"ID","Requirements","project category","Requirement Category","Magnitude of Risk","Impact","Priority"
258,"The system will allow employees to get specific vehicle information for customers","Enterprise System","Functional","Low","insignificant",22.384615
259,"The local system should be capable of running, at minimum, 1000 processes per minute (PPM)","Enterprise System","Performance","Low","moderate",25.792308
260,"The Headquarter (HQ) system should be able to process and allocate information to designated terminal within a 10 second refresh rate","Enterprise System","Performance","Low","catastrophic",33.530769
261,"The system response time should be no longer than 1.0 seconds in order to keep up with the actions given by the User","Enterprise System","Performance","Low","high",29.5
262,"As the company begins to acquire more customers popularity, the system must be able to scale in speed, size, and versatility in order to accommodate the rising needs of the customer basis.","Enterprise System","Performance","Very Low","Low",20.384615
263,"The system will need to function on major internet operating software including Internet explorer, Firefox, Chrome, Safari, Opera, and Android","Enterprise System","Constraints","Low","Low",33.584615
264,"The system will be constrained operating software of the host computer which is windows","Enterprise System","Constraints","Low","Low",32.730769
265,"The user should have a valid user id and password","Safety Critical System","Functional","Low","insignificant",33.615385
266,"Web site contains login window for each user","Safety Critical System","Functional","Very Low","moderate",23.423077
267,"User should provide a valid user id and password to access the web site","Safety Critical System","Functional","Very Low","Low",28.307692
268,"The user (pedestrians,vehicle owners,traffic police)should provide a valid information.","Safety Critical System","Functional","Very Low","moderate",21.384615
269,"Web site contains Registration   window for each users","Safety Critical System","Functional","Very Low","moderate",15.846154
270,"User should provide a valid details to create account in the web site","Safety Critical System","Functional","Very Low","Low",17.115385
271,"The user (vehicle owners pedestrains) should have to provide valid information to traffic police through admin","Safety Critical System","Functional","Very Low","Low",15.538462
272,"Web site contains Compliant issued dialog box for every user","Safety Critical System","Functional","Very Low","high",24.930769
273,"validation form for every user","Safety Critical System","Functional","Very Low","moderate",24.930769
274,"The user (pedstrains vehicle owners)can give compliant any time to traffic police","Safety Critical System","Functional","Very Low","Low",27.038462
275,"Web site contains Compliant issued dialog box for every user","Safety Critical System","Functional","Very Low","high",30.507692
276,"Admin can manage all users and maintain their data securely He can update the details and day to day updating can be done by admin","Safety Critical System","Functional","Very Low","moderate",34.776923
277,"System can give the suggestions to the users during their discussion in discussion forum. He /She will give the traffic details. For participating in discussion forum he/she has to be registered.","Safety Critical System","Functional","Very Low","moderate",23.238462
278,"Smart Traffic Management plays a important role in maintaining data of road Traffic of a region which is helpful to users.","Safety Critical System","Functional","Very Low","Low",23.230769
279,"User can ask any questions with the system and server during their chat","Safety Critical System","Functional","Very Low","Low",27.023077
280,"With the information provided by administrator user can directly contact with system or he can contact during their chat.","Safety Critical System","Functional","Very Low","moderate",33.961538
281,"Smart Traffic Management System can help by creating awareness","Safety Critical System","Functional","Very Low","moderate",20.330769
282,"User can enter into his account only by login","Safety Critical System","Functional","Very Low","moderate",23.346154
283,"User can exit from his account","Safety Critical System","Functional","Very Low","Low",28.523077
284,"Administrator can maintain all backup data","Safety Critical System","Functional","Low","high",32.692308
285,"System can participate in chat with user and SERVER","Safety Critical System","Functional","Negligible","Low",8.423077
286,"Admin has to provide the Traffic information to the user","Safety Critical System","Functional","Very Low","moderate",29.576923
287,"System can respond to the queries asked by user","Safety Critical System","Functional","Negligible","moderate",15.561538
288,"Day to day updating in improvements of operations can be provided by admin and they can be send to registered users every day","Safety Critical System","Functional","Negligible","high",19.2
289,"System can view the queries which are asked by user","Safety Critical System","Functional","Very Low","Low",26.730769
290,"User can view the response to their queries which are sent by system","Safety Critical System","Functional","Negligible","Low",20.769231
291,"User can view the updating provided by admin","Safety Critical System","Functional","Very Low","moderate",36.484615
292,"System can withstand even though many no. of customers request the desired service. Access is given to any users","Safety Critical System","Performance","Very Low","moderate",26.946154
293,"By incorporating a robust and proven DB2 UDB into the system reliable 0.6 and integrity of data is ensured","Safety Critical System","Safety","Very Low","high",28.076923
294,"There must be a power backup for server system","Safety Critical System","Safety","Very Low","moderate",27.192308
295,"Every day the data should be backup even when the operation of a user is not successful","Safety Critical System","Safety","Very Low","moderate",23.930769
296,"Sensitive data is protected from unwanted access by users appropriate technology and implementing strict user-access criteria","Safety Critical System","Security","Very Low","Low",19.130769
297,"Facility of unique user number and Password in such a way that unauthorized user cannot log in","Safety Critical System","Security","Very Low","Low",15.861538
298,"Operational rights for each user/terminal can be defined","Safety Critical System","Security","Very Low","high",20.207692
299,"Operational rights for each user/terminal can be defined","Safety Critical System","Security","Very Low","Low",25.284615
